quantization,dataset,metric,Mean,SD
GPTQ,BTHS,Balanced Accuracy,0.7761187827417195,0.016393623237482356
GPTQ,BTHS,F1,0.6816001432426775,0.020629165148639873
GPTQ,BTHS,Precision,0.5951775937982835,0.03459649348245891
GPTQ,BTHS,Recall,0.8,0.02357022603955158
GPTQ,BTHS,Time to Analyze,9.098992937686853,0.33824225229782207
GPTQ,BTHS,VRAM Max Usage MiB,7175,0
GPTQ,HW,Balanced Accuracy,0.6413064547392906,0.006381151084078934
GPTQ,HW,F1,0.42391304347826086,0.009355032237215967
GPTQ,HW,Precision,0.34285714285714286,0.012295185226055305
GPTQ,HW,Recall,0.5555555555555556,0
GPTQ,HW,Time to Analyze,9.938350303075277,0.8718040232427828
GPTQ,HW,VRAM Max Usage MiB,6463,0
GPTQ,MOZILLA,Balanced Accuracy,0.9291880250393283,0.062206309678120936
GPTQ,MOZILLA,F1,0.6605291602422162,0.12219513857392554
GPTQ,MOZILLA,Precision,0.8771802951950011,0.12250616759629539
GPTQ,MOZILLA,Recall,0.5409646976466198,0.13747767242344888
GPTQ,MOZILLA,Time to Analyze,16.586520653660408,2.0224584765545477
GPTQ,MOZILLA,VRAM Max Usage MiB,7093.4,196.5814504643474
NONE,AMINA,Balanced Accuracy,0.8777503233744863,0.07204925438952998
NONE,AMINA,F1,0.7797298963213867,0.10295524536253926
NONE,AMINA,Precision,0.7632199467199468,0.14342510402683054
NONE,AMINA,Recall,0.8170927605418163,0.12231703089561644
NONE,AMINA,Time to Analyze,139.36230465099214,264.07664872579835
NONE,AMINA,VRAM Max Usage MiB,16962,3064.534947499285
NONE,BTHS,Balanced Accuracy,0.7413905461736385,0.0033398961815690464
NONE,BTHS,F1,0.6411882778000803,0.001015584957099419
NONE,BTHS,Precision,0.5191919191919192,0.012776879435023767
NONE,BTHS,Recall,0.84,0.031622776601683784
NONE,BTHS,Time to Analyze,8.386786178592592,0.09410750166096221
NONE,BTHS,VRAM Max Usage MiB,16327,0
NONE,HW,Balanced Accuracy,0.6008596970138663,0.01289095522513733
NONE,HW,F1,0.3257969033255075,0.03155919634787242
NONE,HW,Precision,0.2817982017982018,0.020830364645073998
NONE,HW,Recall,0.38888888888888884,0.05856069741052554
NONE,HW,Time to Analyze,9.36486660304945,1.255062522396784
NONE,HW,VRAM Max Usage MiB,15531,0
NONE,MOZILLA,Balanced Accuracy,0.9211788520971733,0.06818373907446142
NONE,MOZILLA,F1,0.7118805109365984,0.11215507931483241
NONE,MOZILLA,Precision,0.8577680774827093,0.13576338350681974
NONE,MOZILLA,Recall,0.6253654425919872,0.14283592060202432
NONE,MOZILLA,Time to Analyze,15.665904819406569,2.6278086401133907
NONE,MOZILLA,VRAM Max Usage MiB,16128.4,153.64909516311656
